US3990245,1976
US3994012,1976
US4001864,1976
US4003445,1976
US4004067,1976
US4004068,1976
US4009051,1976
US4010045,1976
US4012767,1976
US4015653,1976
US4016586,1976
US4017332,1976
US4017779,1976
US4018397,1976
US4020616,1976
US4020912,1976
US4022950,1976
US4024558,1976
US4024852,1976
US4026112,1976
US4026414,1976
US4026735,1976
US4027651,1976
US4028151,1976
US4028720,1976
US4031385,1976
US4033503,1976
US4035197,1976
US4035731,1976
US4037579,1976
US4038104,1976
US4039357,1976
US4039925,1976
US4040867,1976
US4041271,1976
US4041307,1976
US4042417,1976
US4042418,1976
US4042447,1976
US4043315,1976
US4043834,1976
US4045245,1976
US4045663,1976
US4046135,1976
US4046594,1976
US4048372,1976
US4049358,1976
US4050019,1976
US4050834,1976
US4050907,1976
US4052066,1976
US4052119,1976
US4052181,1976
US4052228,1976
US4052536,1976
US4052657,1976
US4052659,1976
US4052782,1976
US4053774,1976
US4054246,1976
US4055442,1976
US4056404,1976
US4056405,1976
US4056408,1976
US4056760,1976
US4056879,1976
US4057439,1976
US4057963,1976
US4058729,1976
US4060316,1976
US4060426,1976
US4060754,1976
US4062038,1976
US4062371,1976
US4062698,1976
US4062706,1976
US4063963,1976
US4064517,1976
US4064521,1976
US4064522,1976
US4064552,1976
US4065777,1976
US4066363,1976
US4066815,1976
US4068361,1976
US4068653,1976
US4069492,1976
US4069498,1976
US4070205,1976
US4070206,1976
US4070444,1976
US4071016,1976
US4074076,1976
US4074305,1976
US4075055,1976
US4076191,1976
US4077043,1976
US4077818,1976
US4078945,1976
US4080221,1976
US4081290,1976
US4082097,1976
US4082099,1976
US4082570,1976
US4082947,1976
US4083097,1976
US4083360,1976
US4084024,1976
US4084575,1976
US4085728,1976
US4086102,1976
US4086485,1976
US4087799,1976
US4087960,1976
US4088116,1976
US4088227,1976
US4089576,1976
US4089705,1976
US4090213,1976
US4090359,1976
US4090851,1976
US4094137,1976
US4094146,1976
US4094731,1976
US4094751,1976
US4095997,1976
US4096393,1976
US4096459,1976
US4096949,1976
US4099878,1976
US4100051,1976
US4100427,1976
US4101351,1976
US4102291,1976
US4102764,1976
US4103172,1976
US4103298,1976
US4104654,1976
US4106482,1976
US4106951,1976
US4108714,1976
US4110122,1976
US4110628,1976
US4112135,1976
US4112457,1976
US4112875,1976
US4113531,1976
US4113532,1976
US4113543,1976
US4114151,1976
US4116221,1976
US4116641,1976
US4116717,1976
US4117364,1976
US4120582,1976
US4120705,1976
US4121103,1976
US4121965,1976
US4122356,1976
US4122396,1976
US4122407,1976
US4122476,1976
US4124411,1976
US4126812,1976
US4127449,1976
US4128329,1976
US4130801,1976
US4130903,1976
US4131659,1976
US4134057,1976
US4134498,1976
US4136436,1976
US4140959,1976
US4141425,1976
US4142195,1976
US4142781,1976
US4142924,1976
US4143234,1976
US4143282,1976
US4144094,1976
US4146327,1976
US4146657,1976
US4146784,1976
US4147430,1976
US4148297,1976
US4152535,1976
US4153474,1976
US4156455,1976
US4156622,1976
US4158286,1976
US4159354,1976
US4159427,1976
US4160797,1976
US4164934,1976
US4168696,1976
US4173213,1976
US4173968,1976
US4191164,1976
US4196438,1976
US4223174,1976
US4241835,1976
US4243890,1976
US4262661,1976
US4272257,1976
US4382838,1976
US4061555,1977
US4067764,1977
US4072541,1977
US4075034,1977
US4079249,1977
US4082568,1977
US4082569,1977
US4082602,1977
US4082958,1977
US4082969,1977
